name,height,weight,reach,stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Miranda Maverick,"5' 3""",125 lbs.,"65""",Southpaw,1-Jul-97,9.8,0.51,6,0.62,0,0,0,0
Nick Maximov,"6' 0""",220 lbs.,"76""",Southpaw,23-Dec-97,2.47,0.58,0.33,0.58,2,0.4,0,0
Vladimir Matyushenko,"6' 0""",205 lbs.,"74""",Orthodox,4-Jan-71,1.9,0.44,1.62,0.59,3.25,0.46,0.7,0.1
Elaina Maxwell,"5' 8""",145 lbs.,,Orthodox,16-Dec-78,2.07,0.6,2.4,0.53,0,0,0.5,1
Jeremy May,"6' 1""",185 lbs.,,,23-Oct-86,0,0,0,0,0,0,0,0
Al Matavao,"5' 8""",205 lbs.,"67""",Orthodox,23-Feb-94,7.84,0.46,6.7,0.58,0,0,0,0
Jack May,"6' 8""",255 lbs.,,Switch,14-Apr-81,1.52,0.38,3.29,0.33,0.91,0.33,0.2,0
Don'Tale Mayes,"6' 6""",260 lbs.,"81""",Orthodox,16-Jan-92,4.13,0.45,4.46,0.43,0.23,0.2,0.59,0
Brooke Mayo,"5' 7""",125 lbs.,,,,1.92,0.34,3.2,0.63,3.2,0.6,0,2.1
Gina Mazany,"5' 6""",125 lbs.,"68""",Southpaw,19-Aug-88,3.45,0.47,3.07,0.51,4.41,0.63,0.33,0.3
Gray Maynard,"5' 9""",155 lbs.,"70""",Orthodox,9-May-79,1.92,0.32,2.64,0.66,2.91,0.47,0.81,0.7
Scott McAfee,"5' 8""",155 lbs.,,Orthodox,23-Aug-83,0,0,1.33,0.5,0,0,0,0
Sabina Mazo,"5' 7""",135 lbs.,"70""",Orthodox,25-Mar-97,6.56,0.44,3.91,0.6,0.81,0.8,0.66,0.2
Michael McBride,"6' 1""",155 lbs.,,Orthodox,9-Mar-86,4.08,0.48,5.85,0.4,1.85,0.42,0.3,1.2
Bobby McAndrews,,,,Orthodox,,2.56,0.83,1.03,0.5,0,0,0.33,7.7
Ian McCall,"5' 5""",125 lbs.,"64""",Orthodox,7-May-84,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0
Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,4-May-90,5.15,0.5,4.28,0.65,1.64,0.29,0.28,0.7
Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,6-Aug-80,0.18,0.12,4.03,0.56,2.67,0.6,0,2.7
Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,17-Jul-76,0.85,0.44,2.48,0.52,2.12,0.4,0.33,4.2
Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,24-Sep-81,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0
Tamdan McCrory,"6' 4""",185 lbs.,"76""",Switch,5-Nov-86,2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5
Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,18-Feb-76,1.58,0.37,2.02,0.46,1.28,0.44,0.43,0
Michael McDonald,"5' 9""",135 lbs.,"70""",Orthodox,15-Jan-91,2.69,0.42,2.76,0.57,1.09,0.66,0.52,1.4
Rob McCullough,"5' 9""",155 lbs.,"69""",Orthodox,26-May-77,2.47,0.36,2.84,0.59,0.46,1,0.68,0
Robert McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,3-May-83,1.64,0.44,1.98,0.56,0.93,0.5,0.5,1.4
Scott McDonald,,,,,,0,0,0,0,0,0,0,0
Josh McDonald,,185 lbs.,,,,0.8,0.57,3.4,0.33,9,0.5,0,0
Miles McDonald,"5' 7""",115 lbs.,,,13-Aug-91,5.1,0.45,4,0.43,0,0,1,1
Justin McElfresh,"6' 6""",205 lbs.,,Orthodox,4-Jan-80,4.59,0.26,12.79,0.41,0,0,0,0
Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,27-Jul-78,5.13,0.51,4.56,0.52,1.42,1,0.56,0.7
Liam McGeary,"6' 6""",205 lbs.,,,4-Oct-82,1.28,0.48,1.92,0.5,0.51,1,0,2.5
Gan McGee,"6' 10""",265 lbs.,,Orthodox,20-Nov-76,2.2,0.29,2.31,0.59,0.65,0.25,0.83,0
Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,12-Dec-84,4.9,0.36,3.94,0.61,1.6,0.21,0.63,0.4
Ryan McGillivray,"5' 11""",170 lbs.,,,27-Sep-86,1.27,0.2,2.2,0.52,0,0,0.44,0
Ryan McGivern,"6' 0""",185 lbs.,,Orthodox,17-Jan-80,2.22,0.29,2.22,0.57,0,0,0,0
Conor McGregor,"5' 9""",155 lbs.,"74""",Southpaw,14-Jul-88,5.32,0.49,4.54,0.54,0.7,0.55,0.67,0
Jack McGlaughlin,,,,Orthodox,,0,0,0,0,0,0,0,0
Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,21-Apr-80,0.79,0.3,1.36,0.41,5.09,0.5,0,0
AJ McKee,"5' 10""",145 lbs.,,,,2.75,0.32,0.92,0.8,11.01,1,1,11
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,12-Mar-70,1.37,0.45,0.74,0.74,1.47,0.33,0.57,0
Rhys McKee,"6' 2""",170 lbs.,"78""",Orthodox,10-Sep-95,6.83,0.53,11.9,0.43,0,0,0.2,0
Tim McKenzie,"6' 0""",185 lbs.,"74""",Orthodox,21-Jul-82,1.37,0.54,2.96,0.44,0,0,0.28,2.1
Terrance McKinney,"5' 11""",145 lbs.,"74""",Switch,15-Sep-94,1.17,0.5,0.59,0.66,4.4,0.33,0,0
Cory McKenna,"5' 3""",115 lbs.,"58""",Orthodox,7-Nov-99,3.47,0.44,3.03,0.45,0.5,0.5,0.71,0
Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,16-Dec-87,1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5
Jason McLean,"5' 5""",145 lbs.,,,,0,0,0,0,0,0,0,0
Brian McLaughlin,"5' 9""",155 lbs.,,,12-May-84,0,0,0,0,0,0,0,0
Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,1-Sep-82,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9
Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,24-Sep-80,2.32,0.45,1.94,0.48,4.41,0.65,0.5,0.5
Charles McTorry,,,,,,0,0,0,0,0,0,0,0
Daniel McWilliams,"6' 1""",185 lbs.,,,,3.36,0.77,0,0,0,0,1,21.6
James McSweeney,"6' 4""",230 lbs.,"77""",Switch,24-Oct-80,3.94,0.55,4.33,0.42,0.52,0.33,1,1.1
Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,20-Feb-84,5.16,0.48,3.58,0.61,0.92,0.41,0.64,0.2
Kaline Medeiros,"5' 3""",115 lbs.,,,,2.06,0.7,0.29,0.83,4.41,1,0,4.4
Anistavio Medeiros,"5' 6""",145 lbs.,,Orthodox,1-May-88,3.64,0.44,5,0.47,0,0,0,0
Yancy Medeiros,"5' 10""",155 lbs.,"75""",Orthodox,7-Sep-87,4.05,0.35,5.38,0.46,0.12,0.25,0.76,0.5
Uros Medic,"6' 1""",155 lbs.,"71""",Southpaw,25-Apr-93,19.91,0.77,0.52,0.86,0,0,1,0
Jason Medina,"5' 9""",180 lbs.,,,,0,0,0,0,0,0,0,0
Todd Medina,"5' 10""",193 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Emil Meek,"5' 11""",170 lbs.,"74""",Switch,20-Aug-88,2.52,0.39,2.53,0.38,0.25,0.33,0.47,1
Sanford Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,5-Apr-94,0.71,0.42,4.47,0.38,7.06,0.25,0,0
Frank Megallon,"5' 10""",185 lbs.,,Southpaw,,1.14,0.21,5.32,0.54,0,0,0,0
Bryce Mejia,"6' 1""",170 lbs.,,,,3.49,0.62,6.98,0.5,0,0,0,0
Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,18-Dec-87,3.3,0.42,3.61,0.51,2.33,0.43,0.46,1.7
Derrick Mehmen,"6' 4""",205 lbs.,,,30-May-85,1.93,0.14,4.53,0.48,1,0.16,0,0
Jordan Mein,"6' 0""",170 lbs.,"73""",Orthodox,10-Oct-89,3.35,0.44,2.55,0.69,1.56,0.58,0.66,0.2
Miika Mehmet,,205 lbs.,,Orthodox,,0.33,0.12,7.29,0.24,0,0,0,0
Brian Melancon,"5' 8""",170 lbs.,,Orthodox,28-May-82,4.18,0.49,3.64,0.64,2.02,1,0.66,0
Brandon Melendez,"5' 11""",155 lbs.,,Southpaw,24-Mar-83,0.84,0.26,0.56,0.63,0,0,0.25,0
Fabio Mello,"5' 5""",155 lbs.,,Southpaw,,0.86,0.35,3.94,0.5,0,0,0,0
Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,12-Apr-82,3.44,0.33,2.53,0.63,1.64,0.41,0.71,0.2
Vanessa Melo,"5' 5""",135 lbs.,"65""",Orthodox,27-Mar-88,3.48,0.3,6.13,0.59,0,0,0.71,0
Marcelo Mello,"5' 7""",170 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,19-Apr-81,1.34,0.47,6.85,0.22,2.51,0.5,1,0
Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,3-Mar-83,2.42,0.34,3.91,0.56,1.75,0.33,0.8,0
Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,1-May-85,2.78,0.49,2.35,0.67,4.13,0.55,1,0.3
Eddie Mendez,"5' 10""",185 lbs.,,,16-Jan-84,1.71,0.33,3.43,0.11,0,0,0,0
Luis Mendoza,,155 lbs.,,,,0,0,0,0,0,0,0,0
Pietro Menga,"5' 7""",125 lbs.,"68""",Southpaw,15-Feb-88,0,0,0,0,0,0,0,0
Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,18-Oct-87,3.34,0.47,3.72,0.45,0,0,0.85,0
Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,30-May-82,2.78,0.37,2.76,0.65,0.56,0.28,0.38,1
Steve Mensing,"5' 11""",185 lbs.,,Orthodox,6-Dec-77,0,0,9.51,0.42,0,0,0,0
Dave Menne,"5' 10""",170 lbs.,,Orthodox,29-Jul-74,1.84,0.44,1.99,0.42,0.46,0.5,0.57,2.5
Adam Meredith,"6' 2""",170 lbs.,,,,2.63,0.5,2.11,0.55,7.89,1,1,7.9
Buck Meredith,"6' 2""",185 lbs.,,,17-May-82,0,0,0,0,0,0,0,0
Joe Merritt,"6' 0""",170 lbs.,,Orthodox,7-Mar-84,1.53,0.58,0.73,0.66,0,0,0.68,0
Jonathan Meunier,"6' 3""",170 lbs.,,Switch,4-Aug-87,3.47,0.5,1.43,0.69,0.58,0.33,0.58,0
Jeremiah Metcalf,"6' 1""",185 lbs.,,Orthodox,,1.74,0.59,0.27,0.6,4.02,0.66,1,2
Brandon Michaels,"5' 9""",185 lbs.,,,,0,0,0,0,0,0,0,0
Yaotzin Meza,"5' 9""",145 lbs.,"71""",Orthodox,4-Feb-81,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4
Guy Mezger,"6' 1""",200 lbs.,,Orthodox,1-Jan-68,2.3,0.32,1.36,0.72,0.39,0.5,0.88,0
David Michaud,"5' 9""",155 lbs.,,Orthodox,10-Nov-88,3.25,0.43,4.45,0.54,2.53,0.58,0.77,0.7
Andreas Michailidis,"6' 0""",185 lbs.,"76""",Orthodox,18-Jul-88,4.6,0.5,3.6,0.63,0,0,0,0
Kristof Midoux,"6' 1""",220 lbs.,,Orthodox,30-Jul-74,0.7,0.43,2.89,0.49,0,0,0,0
Keith Mielke,"5' 8""",185 lbs.,,,,0,0,0,0,0,0,0,0
Zachary Micklewright,"6' 0""",155 lbs.,"74""",Southpaw,21-Aug-76,5.56,0.53,4.72,0.54,0.7,0.12,1,0
Chris Mierzwiak,"6' 1""",185 lbs.,,,14-Feb-88,1.6,0.61,1.73,0.48,2,0.28,0,1
Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,30-Mar-80,1.23,0.35,5.95,0.47,0,0,0.33,0
Gabriel Miglioli,"5' 8""",170 lbs.,,,,0,0,0,0,0,0,0,0
Billy Miles,"5' 10""",170 lbs.,,Orthodox,28-Apr-78,0,0,1.25,0.33,0,0,0,0
Phillip Miller,"5' 11""",185 lbs.,,Orthodox,20-Feb-79,1.61,0.54,1.93,0.5,3.62,0.25,1,0.6
Jason Miller,"6' 1""",185 lbs.,,Orthodox,24-Dec-80,1.83,0.43,2.3,0.49,1.31,0.28,0.43,1.3
Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,30-Jun-81,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8
Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,1-Dec-87,3.86,0.46,2.95,0.61,0.43,1,0.57,0
Pat Miletich,"5' 10""",170 lbs.,,Orthodox,9-Mar-68,1.79,0.45,1.66,0.63,1.96,1,0.54,1
Cole Miller,"6' 1""",145 lbs.,"73""",Orthodox,26-Apr-84,3,0.33,3.88,0.59,0.6,0.36,0.38,1.8
Chris Mickle,"5' 9""",145 lbs.,,Orthodox,10-Jul-83,3.03,0.27,9.7,0.48,0,0,0,0
Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,30-Aug-83,2.73,0.4,2.99,0.59,1.69,0.43,0.46,1.9
Micah Miller,"6' 0""",145 lbs.,,Orthodox,14-Feb-87,1.33,0.33,2.15,0.54,0.98,0.37,0.21,2
Aaron Miller,"5' 9""",145 lbs.,,,,0,0,0,0,0,0,0,0
Henry Miller,"5' 7""",270 lbs.,,Southpaw,16-Jul-69,1.25,0.36,2.16,0.54,0.55,0.25,0.6,0
Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,29-Sep-82,2.08,0.52,2.87,0.43,1.18,0.66,0.58,0
Eddy Millis,"6' 1""",185 lbs.,,,,0,0,3.36,0.22,0,0,0,7.2
Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,3-Jul-87,3.85,0.46,4.79,0.43,0,0,0.64,0
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,2-May-82,3.23,0.38,3.7,0.47,1.85,0.2,0.5,0
Stipe Miocic,"6' 4""",240 lbs.,"80""",Orthodox,19-Aug-82,4.9,0.52,3.75,0.55,1.92,0.34,0.7,0
Vitaly Minakov,"6' 2""",249 lbs.,,,6-Feb-85,0,0,0,0,0,0,0,0
Darrick Minner,"5' 7""",145 lbs.,"69""",Orthodox,28-Apr-90,3.24,0.7,1.4,0.43,3,0.62,0.6,3.6
Mike Minniger,,,,,,0,0,0,0,0,0,0,0
Carlton Minus,"5' 10""",170 lbs.,"75""",Orthodox,26-Apr-93,3.5,0.4,4.97,0.5,0,0,0.58,0
Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,12-Jan-76,0.88,0.4,1.66,0.49,1.82,0.41,0.05,1.9
Juan Miranda,,155 lbs.,,,,0,0,0,0,0,0,0,0
Mario Miranda,"6' 3""",185 lbs.,"74""",Orthodox,12-Jul-79,1.96,0.54,2.46,0.36,1.02,0.6,0.54,0
Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,24-May-79,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2
Damir Mirenic,"6' 0""",185 lbs.,,Orthodox,2-Aug-74,0.84,0.5,9.86,0.35,0,0,0,0
Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,10-Mar-79,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2
Toby Misech,"5' 8""",145 lbs.,,Southpaw,7-Mar-88,3.27,0.4,7.73,0.46,0,0,0,0
Kazuo Misaki,"5' 8""",183 lbs.,,Orthodox,25-Apr-76,2.85,0.4,2.74,0.63,0.72,0.38,0.51,0.6
Dokonjonosuke Mishima,"5' 7""",155 lbs.,,Southpaw,19-Apr-72,1.06,0.41,1.22,0.52,2.47,0.4,0.25,1.4
Felix Lee Mitchell,,,,Orthodox,,0,0,0,0,0,0,0,0
Danny Mitchell,"6' 2""",170 lbs.,,Orthodox,8-Aug-86,2.53,0.49,2.53,0.52,0,0,1,3
Brad Mitchell,"5' 11""",145 lbs.,,,10-Oct-74,1.15,0.33,4.2,0.52,0,0,1,1.9
David Mitchell,"6' 0""",170 lbs.,"75""",Orthodox,24-Oct-79,1.74,0.32,2.06,0.55,0.66,0.5,0.29,2
Maurice Mitchell,"5' 9""",145 lbs.,,Orthodox,29-Jun-87,3.8,0.55,3.54,0.6,0,0,1,0
Clay Mitchell,"6' 2""",185 lbs.,,,,1.63,0.85,0,0,0,0,1,4.1
Bryce Mitchell,"5' 10""",145 lbs.,"70""",Southpaw,4-Oct-94,2.29,0.61,1.46,0.6,3.26,0.46,0.33,2.3
Roman Mitichyan,"5' 10""",170 lbs.,,Orthodox,4-Sep-78,0.26,0.16,2.7,0.43,1.93,1,0.25,1.9
Eiji Mitsuoka,"5' 7""",145 lbs.,,Southpaw,1-Jan-76,1.49,0.49,2.26,0.45,2.3,0.36,0.2,1.6
Jonathan  Mix,"6' 0""",168 lbs.,,,9-Nov-80,0,0,0,0,0,0,0,0
Matt Mitrione,"6' 3""",265 lbs.,"82""",Switch,15-Jul-78,3.55,0.5,2.79,0.64,0,0,0.55,0.7
Motoki Miyazawa,"5' 11""",168 lbs.,,Southpaw,,1.23,0.28,3.91,0.61,0,0,0,0
Hiromitsu Miura,"5' 9""",170 lbs.,"71""",Orthodox,22-Sep-81,2.12,0.34,2.12,0.58,2.23,0.5,0.69,0.6
Tomoya Miyashita,"5' 7""",139 lbs.,,Southpaw,,1.67,0.65,0.93,0.33,4,0.8,0,2
Kazuyuki Miyata,"5' 8""",139 lbs.,,Orthodox,,2.04,0.52,1.82,0.63,4.31,0.46,0.68,0
Takeya Mizugaki,"5' 7""",135 lbs.,"69""",Orthodox,16-Dec-83,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1
Tatsuya Mizuno,"6' 1""",205 lbs.,,Southpaw,2-Jun-81,2.25,0.37,3.52,0.53,1.19,0.25,0.4,3.6
Bobby Moffett,"5' 10""",145 lbs.,"73""",Orthodox,1-Jun-90,3.41,0.39,3.15,0.61,2.74,0.66,0.66,1.4
Roxanne Modafferi,"5' 7""",125 lbs.,"69""",Orthodox,24-Sep-82,3.13,0.3,5.03,0.53,1.42,0.23,0.3,0.1
Bronson Mohika,,135 lbs.,,,,0,0,0,0,0,0,0,0
Thiago Moises,"5' 9""",155 lbs.,"70""",Orthodox,23-Mar-95,2.85,0.37,3.88,0.6,1.06,0.33,0.63,1.2
Nate Mohr,"5' 9""",155 lbs.,"72""",Orthodox,3-Mar-83,3.79,0.41,2.5,0.74,0.45,0.5,0.71,0
Renato Moicano,"5' 11""",155 lbs.,"72""",Orthodox,21-May-89,5.4,0.46,3.74,0.65,1.28,0.53,0.78,0.6
Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,15-Sep-85,1.95,0.43,3.66,0.43,0.54,0.16,0.33,0
Suman Mokhtarian,"5' 8""",145 lbs.,"72""",Orthodox,13-Jun-92,2.21,0.43,6.85,0.48,0,0,0,0
Rudyard Moncayo,"5' 10""",195 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Dan Molina,"5' 10""",216 lbs.,,,14-Jun-84,0,0,5.58,0.6,0,0,0,20.9
Jeff Molina,"5' 6""",125 lbs.,"69""",Orthodox,17-Jul-97,5.07,0.38,5.53,0.55,0,0,0,0
Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,18-Jan-71,0.97,0.3,2.87,0.59,1.06,0.12,0.66,0.7
Hidetaka Monma,"6' 0""",168 lbs.,,Orthodox,23-Oct-73,1.67,0.25,9.76,0.34,0,0,0,0
Darrell Montague,"5' 6""",125 lbs.,"67""",Southpaw,3-Nov-87,1.92,0.25,5.38,0.52,0.72,0.25,0.33,1.4
Andrew Montanez,,185 lbs.,,,,0,0,0,0,0,0,0,0
Nicco Montano,"5' 5""",135 lbs.,"65""",Southpaw,16-Dec-88,5.6,0.41,4.43,0.64,2.25,0.54,0.69,0.4
Erick Montano,"6' 0""",170 lbs.,"73""",Orthodox,19-Nov-85,2.79,0.44,2.06,0.64,2.29,0.36,0.66,0
Alberto Montes,"5' 7""",135 lbs.,,,31-May-94,0,0,0,0,0,0,0,0
Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,25-Oct-84,3.46,0.46,2.66,0.56,0,0,0.66,0
James Moontasri,"5' 10""",170 lbs.,"71""",Switch,10-Apr-88,2.39,0.48,3.86,0.4,0,0,0.79,0.2
Homer Moore,"5' 10""",205 lbs.,,Orthodox,27-Nov-71,0.68,0.5,0.68,0,5.07,0.66,0,0
Steve Montgomery,"6' 4""",185 lbs.,,Southpaw,19-Dec-90,4.85,0.39,4.12,0.47,0,0,0.64,0
Todd Moore,"5' 9""",170 lbs.,"71""",Southpaw,30-Dec-83,1.83,0.26,2.3,0.57,0.78,0.14,0.54,0
Nate Moore,"6' 0""",170 lbs.,,,,2.21,0.25,2.87,0.42,1.23,0.16,0.25,0
Dustin Moore,"5' 4""",125 lbs.,,,,0,0,0,0,0,0,0,0
Taylor Moore,"5' 10""",135 lbs.,"70""",Southpaw,16-Oct-93,0.2,0.75,2.07,0.42,0,0,0.25,0
Sergio Moraes,"6' 0""",170 lbs.,"72""",Orthodox,23-Jul-82,2.42,0.42,3.73,0.59,1.2,0.38,0.75,0.4
Ricardo Morais,"6' 8""",270 lbs.,,Orthodox,26-Feb-67,2.86,0.37,2.39,0.53,0,0,0,0
Marlon Moraes,"5' 6""",135 lbs.,"67""",Orthodox,26-Apr-88,3.38,0.39,4.11,0.56,1,0.41,0.66,0.4
Sheymon Moraes,"5' 8""",145 lbs.,"72""",Orthodox,11-Oct-90,3,0.42,3.64,0.63,0,0,0.53,0
John Moraga,"5' 6""",125 lbs.,"66""",Orthodox,20-Mar-84,2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1
Leonardo Morales,"5' 8""",135 lbs.,,Southpaw,22-Dec-92,2.05,0.47,2.05,0.58,0,0,0.62,0
Vince Morales,"5' 7""",145 lbs.,"70""",Orthodox,12-Nov-90,4.22,0.39,4.16,0.53,0,0,0.55,0
Joseph Morales,"5' 6""",125 lbs.,"69""",Switch,22-Aug-94,1.58,0.37,1.72,0.6,0.53,0.5,0.23,2.6
Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,25-May-91,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2
Omar Morales,"5' 11""",145 lbs.,"73""",Orthodox,17-Oct-85,3.39,0.34,2.99,0.65,0.29,1,1,0
Joe Moreira,"5' 11""",195 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,8-Sep-86,2.82,0.34,2.46,0.46,3.26,0.66,0.5,2.2
Sarah Moras,"5' 7""",135 lbs.,"67""",Orthodox,30-Apr-88,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8
Richardson Moreira,"6' 2""",185 lbs.,,Orthodox,31-Mar-84,1.17,0.28,1.83,0.67,0,0,1,0
Gisele Moreira,"5' 6""",135 lbs.,,Orthodox,14-Jan-81,5.93,0.42,6.33,0.48,4,0.57,0,0
Jesse Moreng,"5' 7""",145 lbs.,,Orthodox,9-Nov-79,1.26,0.4,2.08,0.48,5.56,1,1,0
Vinicius Moreira,"6' 4""",205 lbs.,"76""",Orthodox,28-Feb-89,3.15,0.59,5.07,0.43,1.97,0.18,0,1.3
Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,7-Dec-93,3.41,0.38,3.41,0.59,2.01,0.45,0.67,0.6
Mike Moreno,"6' 0""",185 lbs.,,,,1.27,0.51,1.07,0.58,0,0,0.44,0
Dan Moret,"6' 0""",155 lbs.,"73""",Southpaw,21-Nov-86,2.67,0.43,3.56,0.43,1.25,0.27,0.45,0.4
Sammy Morgan,"5' 10""",170 lbs.,,Orthodox,28-Sep-81,1.05,0.22,3.74,0.4,1.43,0.2,0,0.5
Peggy Morgan,"6' 1""",135 lbs.,,,16-Dec-79,2.27,0.23,8.2,0.33,0,0,0.5,0
Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,16-Aug-90,4.96,0.42,3.69,0.56,0.44,0.28,0.47,0.4
Maryna Moroz,"5' 7""",125 lbs.,"67""",Orthodox,8-Sep-91,4.09,0.31,4.15,0.53,0.56,0.18,0.47,0.4
Sergey Morozov,"5' 6""",135 lbs.,,Orthodox,14-Jun-89,0.81,0.23,2.89,0.39,0,0,0.54,0
Brad Morris,"6' 2""",205 lbs.,,Orthodox,1-Nov-79,0.5,0.62,6.95,0.27,0,0,0,0
Scott Morris,"5' 10""",210 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Anthony Morrison,"5' 7""",145 lbs.,,Orthodox,29-Mar-84,1.7,0.33,0.49,0.8,0,0,0.5,0
Jack Morrison,"5' 11""",205 lbs.,,,,0,0,19.31,0.4,0,0,0,0
Harry Moskowitz,"6' 5""",275 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Nikolas Motta,"5' 9""",155 lbs.,"70""",Orthodox,8-Feb-93,2.8,0.27,3.6,0.66,0,0,1,0
Juan Mott,"6' 0""",190 lbs.,,Switch,,0,0,0,0,0,0,0,0
Flavio Luiz Moura,"5' 11""",183 lbs.,,Open Stance,,0.67,0.16,0,0,0,0,0,0
Kin Moy,"5' 5""",135 lbs.,,,,2.3,0.33,1.93,0.62,1.67,0.42,0.5,1.7
Jamie Moyle,"5' 1""",115 lbs.,"65""",Orthodox,17-Mar-89,4.51,0.51,4,0.65,1,0.21,0.5,0
Gegard Mousasi,"6' 2""",185 lbs.,"76""",Orthodox,1-Aug-85,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1
Su Mudaerji,"5' 8""",125 lbs.,"72""",Southpaw,20-Jan-96,4.49,0.51,2.19,0.68,0.4,1,0.77,0.8
Garrett Mueller,"5' 9""",135 lbs.,,,29-Jan-89,0,0,0,0,0,0,0,0
Lauren Mueller,"5' 5""",125 lbs.,"67""",Orthodox,15-Nov-91,4.08,0.41,3.77,0.58,0.7,0.5,0.71,0
Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,9-Jul-88,4.75,0.43,4.02,0.6,1.97,0.28,0.85,0.2
Fazlo Mulabitinovic,,135 lbs.,,,,0.54,0.16,0,1,0,0,0,8
James Mulheron,"5' 10""",243 lbs.,"73""",Orthodox,20-Feb-88,2.4,0.31,3.47,0.42,0,0,0.25,0
Quinn Mulhern,"6' 3""",155 lbs.,,Orthodox,20-Sep-84,1.48,0.28,2.09,0.51,1.36,0.2,0.33,0
Jamie Mullarkey,"6' 0""",155 lbs.,"74""",Orthodox,17-Aug-94,1.87,0.33,4.6,0.42,4,0.3,0.66,0.5
Jim Mullen,"6' 1""",215 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Pedro Munhoz,"5' 6""",135 lbs.,"65""",Orthodox,7-Sep-86,5.6,0.43,5.87,0.58,0.68,0.21,0.8,0.8
Andre Muniz,"6' 1""",185 lbs.,"78""",Southpaw,17-Feb-90,2.21,0.58,1.8,0.45,2.61,0.35,0.37,2.2
Alexander Munoz,"5' 9""",155 lbs.,"72""",Switch,27-Feb-90,3.27,0.4,5.23,0.52,2.5,0.35,0,0
Mark Munoz,"6' 0""",185 lbs.,"71""",Orthodox,9-Feb-78,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6
Andy Murad,"5' 9""",185 lbs.,,,,2.6,0.76,2.87,0.32,1,0.2,0.42,0
Johnny Munoz,"5' 9""",145 lbs.,"71""",Orthodox,16-Feb-93,3.27,0.62,1.4,0.58,2,0.12,0,1
