name,height,weight,reach,stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,29-May-71,0,0,0,0,0,0,0,0
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Derek Anderson,"6' 0""",155 lbs.,,,2-Feb-90,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,22-Sep-89,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,11-Feb-90,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,8-Mar-84,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,14-May-74,0.2,0.36,2.6,0.53,0,0,0.25,0.8
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,25-Sep-91,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4
Reese Andy,"6' 0""",205 lbs.,,Orthodox,31-Mar-73,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,15-Nov-79,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,23-Jul-91,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,20-Feb-93,5.87,0.55,3.47,0.58,3,0.75,1,0
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,2-Jun-92,3.41,0.53,1.78,0.65,1.18,0.33,0.85,0
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,28-Mar-67,0,0,3.13,0.25,0,0,0,0
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,3-Dec-85,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6
Angelo Antonio,,205 lbs.,,Orthodox,,1.09,0.5,7.64,0.5,0,0,0,0
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,28-Feb-82,5.73,0.52,5,0.69,0,0,1,0
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,9-Feb-87,2.08,0.55,4.21,0.4,5.08,0.36,0,1.4
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,5-Aug-81,2.47,0.42,2.47,0.69,0.65,1,0,0
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,1-Dec-85,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,19-Jun-83,1.35,0.4,11.5,0.32,0,0,0.33,0
Aori Qileng,"5' 7""",125 lbs.,,,25-Jun-93,0,0,0,0,0,0,0,0
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,5-Oct-79,8.79,0.27,10.29,0.39,0,0,0,0
Erik Apple,"6' 0""",170 lbs.,,Orthodox,26-Aug-77,0,0,0.54,0.81,0,0,0,8.1
Romie Aram,"5' 10""",170 lbs.,,Orthodox,2-Dec-77,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,9-May-83,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4
